-------------------------------------------------------------
 Démarrage du logging DHT11 : 2025-12-10 11:26:53
-------------------------------------------------------------
2025-12-10 11:27:55 | temperature | 25
2025-12-10 11:28:29 | humidity   | 55
-------------------------------------------------------------
 Démarrage du logging DHT11 : 2025-12-10 14:35:56
-------------------------------------------------------------
2025-12-10 14:41:09 | temperature | 21.00
2025-12-10 14:41:09 | humidity   | 71.00
2025-12-10 14:41:12 | temperature | 21.20
2025-12-10 14:41:12 | humidity   | 71.00
2025-12-10 14:41:15 | temperature | 21.70
2025-12-10 14:41:16 | humidity   | 71.00
2025-12-10 14:41:18 | temperature | 21.50
2025-12-10 14:41:18 | humidity   | 71.00
2025-12-10 14:41:21 | temperature | 21.20
2025-12-10 14:41:21 | humidity   | 71.00
2025-12-10 14:41:24 | temperature | 21.10
2025-12-10 14:41:24 | humidity   | 71.00
2025-12-10 14:41:27 | temperature | 21.20
2025-12-10 14:41:27 | humidity   | 71.00
2025-12-10 14:41:30 | temperature | 21.00
2025-12-10 14:41:31 | humidity   | 71.00
2025-12-10 14:41:33 | temperature | 21.40
2025-12-10 14:41:33 | humidity   | 71.00
2025-12-10 14:41:36 | temperature | 21.00
2025-12-10 14:41:36 | humidity   | 71.00
2025-12-10 14:41:39 | temperature | 21.50
2025-12-10 14:41:39 | humidity   | 71.00
2025-12-10 14:41:42 | temperature | 21.00
2025-12-10 14:41:42 | humidity   | 71.00
2025-12-10 14:41:45 | temperature | 21.60
2025-12-10 14:41:46 | humidity   | 72.00
2025-12-10 14:41:48 | temperature | 21.60
2025-12-10 14:41:48 | humidity   | 71.00
2025-12-10 14:41:51 | temperature | 21.00
2025-12-10 14:41:51 | humidity   | 71.00
2025-12-10 14:41:54 | temperature | 21.40
2025-12-10 14:41:54 | humidity   | 71.00
2025-12-10 14:41:57 | temperature | 21.10
2025-12-10 14:41:57 | humidity   | 71.00
2025-12-10 14:42:00 | temperature | 21.00
2025-12-10 14:42:01 | humidity   | 71.00
2025-12-10 14:42:03 | temperature | 21.30
2025-12-10 14:42:03 | humidity   | 71.00
2025-12-10 14:42:06 | temperature | 21.80
2025-12-10 14:42:06 | humidity   | 71.00
2025-12-10 14:42:09 | temperature | 21.00
2025-12-10 14:42:09 | humidity   | 71.00
2025-12-10 14:42:12 | temperature | 21.00
2025-12-10 14:42:12 | humidity   | 71.00
2025-12-10 14:42:15 | temperature | 21.30
2025-12-10 14:42:16 | humidity   | 71.00
2025-12-10 14:42:18 | temperature | 21.40
2025-12-10 14:42:18 | humidity   | 71.00
2025-12-10 14:42:21 | temperature | 21.30
2025-12-10 14:42:21 | humidity   | 71.00
2025-12-10 14:42:24 | temperature | 21.00
2025-12-10 14:42:24 | humidity   | 71.00
2025-12-10 14:42:27 | temperature | 21.50
2025-12-10 14:42:27 | humidity   | 71.00
2025-12-10 14:42:30 | temperature | 21.20
2025-12-10 14:42:31 | humidity   | 72.00
2025-12-10 14:42:33 | temperature | 21.60
2025-12-10 14:42:33 | humidity   | 71.00
2025-12-10 14:42:36 | temperature | 21.10
2025-12-10 14:42:36 | humidity   | 71.00
2025-12-10 14:42:39 | temperature | 21.10
2025-12-10 14:42:39 | humidity   | 71.00
2025-12-10 14:42:42 | temperature | 21.70
2025-12-10 14:42:42 | humidity   | 71.00
2025-12-10 14:42:45 | temperature | 21.40
2025-12-10 14:42:46 | humidity   | 71.00
